Text,Field1,Field2
FL1T,"Total opening kills
3511",
FL1T,"Total opening deaths
3234",
FL1T,"Opening kill ratio
1.09",
FL1T,"Opening kill rating
0.98",
FL1T,"Team win percent after first kill
73.1%",
FL1T,"First kill in won rounds
12.7%",Career
FL1T,"First kill in won rounds
12.7%",1.07 (1429)
FL1T,"First kill in won rounds
12.7%",1.08 (1094)
FL1T,"First kill in won rounds
12.7%",1.05 (335)
FL1T,"First kill in won rounds
12.7%",0.99 (55)
fame,"Total opening kills
2121",
fame,"Total opening deaths
1921",
fame,"Opening kill ratio
1.10",
fame,"Opening kill rating
1.07",
fame,"Team win percent after first kill
73.6%",
fame,"First kill in won rounds
16.3%",Career
fame,"First kill in won rounds
16.3%",1.06 (698)
fame,"First kill in won rounds
16.3%",1.06 (557)
fame,"First kill in won rounds
16.3%",1.05 (141)
fame,"First kill in won rounds
16.3%",1.22 (17)
Jame,"Total opening kills
4278",
Jame,"Total opening deaths
2333",
Jame,"Opening kill ratio
1.83",
Jame,"Opening kill rating
1.15",
Jame,"Team win percent after first kill
75.8%",
Jame,"First kill in won rounds
16.9%",Career
Jame,"First kill in won rounds
16.9%",1.13 (1369)
Jame,"First kill in won rounds
16.9%",1.15 (918)
Jame,"First kill in won rounds
16.9%",1.09 (451)
Jame,"First kill in won rounds
16.9%",1.07 (88)
n0rb3r7,"Total opening kills
3629",
n0rb3r7,"Total opening deaths
3628",
n0rb3r7,"Opening kill ratio
1.00",
n0rb3r7,"Opening kill rating
1.05",
n0rb3r7,"Team win percent after first kill
70.7%",
n0rb3r7,"First kill in won rounds
15.8%",Career
n0rb3r7,"First kill in won rounds
15.8%",1.03 (1200)
n0rb3r7,"First kill in won rounds
15.8%",1.04 (997)
n0rb3r7,"First kill in won rounds
15.8%",0.97 (203)
n0rb3r7,"First kill in won rounds
15.8%",0.97 (25)
Qikert,"Total opening kills
3951",
Qikert,"Total opening deaths
3673",
Qikert,"Opening kill ratio
1.08",
Qikert,"Opening kill rating
1.03",
Qikert,"Team win percent after first kill
71.0%",
Qikert,"First kill in won rounds
14.1%",Career
Qikert,"First kill in won rounds
14.1%",1.03 (1415)
Qikert,"First kill in won rounds
14.1%",1.06 (987)
Qikert,"First kill in won rounds
14.1%",0.97 (428)
Qikert,"First kill in won rounds
14.1%",0.95 (88)
TeSeS,"Total opening kills
2934",
TeSeS,"Total opening deaths
2884",
TeSeS,"Opening kill ratio
1.02",
TeSeS,"Opening kill rating
1.02",
TeSeS,"Team win percent after first kill
73.2%",
TeSeS,"First kill in won rounds
14.7%",Career
TeSeS,"First kill in won rounds
14.7%",1.04 (1041)
TeSeS,"First kill in won rounds
14.7%",1.06 (640)
TeSeS,"First kill in won rounds
14.7%",1.00 (401)
TeSeS,"First kill in won rounds
14.7%",0.93 (59)
cadiaN,"Total opening kills
5563",
cadiaN,"Total opening deaths
4214",
cadiaN,"Opening kill ratio
1.32",
cadiaN,"Opening kill rating
1.14",
cadiaN,"Team win percent after first kill
75.3%",
cadiaN,"First kill in won rounds
18.3%",Career
cadiaN,"First kill in won rounds
18.3%",1.04 (1667)
cadiaN,"First kill in won rounds
18.3%",1.06 (1012)
cadiaN,"First kill in won rounds
18.3%",1.03 (655)
cadiaN,"First kill in won rounds
18.3%",1.03 (69)
jabbi,"Total opening kills
2467",
jabbi,"Total opening deaths
2528",
jabbi,"Opening kill ratio
0.98",
jabbi,"Opening kill rating
0.98",
jabbi,"Team win percent after first kill
73.1%",
jabbi,"First kill in won rounds
13.4%",Career
jabbi,"First kill in won rounds
13.4%",0.99 (968)
jabbi,"First kill in won rounds
13.4%",0.98 (710)
jabbi,"First kill in won rounds
13.4%",1.02 (258)
jabbi,"First kill in won rounds
13.4%",0.99 (51)
stavn,"Total opening kills
3913",
stavn,"Total opening deaths
3595",
stavn,"Opening kill ratio
1.09",
stavn,"Opening kill rating
1.06",
stavn,"Team win percent after first kill
73.5%",
stavn,"First kill in won rounds
15.7%",Career
stavn,"First kill in won rounds
15.7%",1.05 (1306)
stavn,"First kill in won rounds
15.7%",1.05 (821)
stavn,"First kill in won rounds
15.7%",1.05 (485)
stavn,"First kill in won rounds
15.7%",1.10 (59)
sjuush,"Total opening kills
2529",
sjuush,"Total opening deaths
2408",
sjuush,"Opening kill ratio
1.05",
sjuush,"Opening kill rating
0.98",
sjuush,"Team win percent after first kill
73.5%",
sjuush,"First kill in won rounds
12.7%",Career
sjuush,"First kill in won rounds
12.7%",1.02 (1034)
sjuush,"First kill in won rounds
12.7%",1.03 (617)
sjuush,"First kill in won rounds
12.7%",1.01 (417)
sjuush,"First kill in won rounds
12.7%",0.96 (59)
KSCERATO,"Total opening kills
2434",
KSCERATO,"Total opening deaths
1715",
KSCERATO,"Opening kill ratio
1.42",
KSCERATO,"Opening kill rating
1.00",
KSCERATO,"Team win percent after first kill
75.6%",
KSCERATO,"First kill in won rounds
12.2%",Career
KSCERATO,"First kill in won rounds
12.2%",1.14 (1076)
KSCERATO,"First kill in won rounds
12.2%",1.15 (694)
KSCERATO,"First kill in won rounds
12.2%",1.14 (382)
KSCERATO,"First kill in won rounds
12.2%",1.13 (49)
saffee,"Total opening kills
1770",
saffee,"Total opening deaths
1184",
saffee,"Opening kill ratio
1.49",
saffee,"Opening kill rating
1.13",
saffee,"Team win percent after first kill
75.3%",
saffee,"First kill in won rounds
16.8%",Career
saffee,"First kill in won rounds
16.8%",1.16 (563)
saffee,"First kill in won rounds
16.8%",1.20 (369)
saffee,"First kill in won rounds
16.8%",1.08 (194)
saffee,"First kill in won rounds
16.8%",1.05 (36)
yuurih,"Total opening kills
2963",
yuurih,"Total opening deaths
2183",
yuurih,"Opening kill ratio
1.36",
yuurih,"Opening kill rating
1.03",
yuurih,"Team win percent after first kill
76.3%",
yuurih,"First kill in won rounds
13.8%",Career
yuurih,"First kill in won rounds
13.8%",1.11 (1169)
yuurih,"First kill in won rounds
13.8%",1.14 (781)
yuurih,"First kill in won rounds
13.8%",1.05 (388)
yuurih,"First kill in won rounds
13.8%",1.04 (49)
arT,"Total opening kills
5123",
arT,"Opening kill rating
1.24",
arT,"Total opening deaths
5122",
arT,"Team win percent after first kill
73.3%",
arT,"Opening kill ratio
1.00",
arT,"First kill in won rounds
23.3%",Career
arT,"First kill in won rounds
23.3%",0.99 (1155)
arT,"First kill in won rounds
23.3%",1.02 (763)
arT,"First kill in won rounds
23.3%",0.95 (392)
arT,"First kill in won rounds
23.3%",0.85 (49)
drop,"Total opening kills
736",
drop,"Total opening deaths
820",
drop,"Opening kill ratio
0.90",
drop,"Opening kill rating
0.91",
drop,"Team win percent after first kill
72.0%",
drop,"First kill in won rounds
11.0%",Career
drop,"First kill in won rounds
11.0%",0.93 (358)
drop,"First kill in won rounds
11.0%",0.97 (174)
drop,"First kill in won rounds
11.0%",0.89 (184)
drop,"First kill in won rounds
11.0%",0.88 (37)
frozen,"Total opening kills
3911",
frozen,"Total opening deaths
3408",
frozen,"Opening kill ratio
1.15",
frozen,"Opening kill rating
1.05",
frozen,"Team win percent after first kill
73.9%",
frozen,"First kill in won rounds
15.0%",Career
frozen,"First kill in won rounds
15.0%",1.13 (1398)
frozen,"First kill in won rounds
15.0%",1.13 (868)
frozen,"First kill in won rounds
15.0%",1.12 (530)
frozen,"First kill in won rounds
15.0%",1.09 (51)
torzsi,"Total opening kills
2093",
torzsi,"Total opening deaths
1359",
torzsi,"Opening kill ratio
1.54",
torzsi,"Opening kill rating
1.14",
torzsi,"Team win percent after first kill
76.5%",
torzsi,"First kill in won rounds
17.6%",Career
torzsi,"First kill in won rounds
17.6%",1.14 (665)
torzsi,"First kill in won rounds
17.6%",1.17 (427)
torzsi,"First kill in won rounds
17.6%",1.08 (238)
torzsi,"First kill in won rounds
17.6%",0.98 (23)
xertioN,"Total opening kills
1329",
xertioN,"Total opening deaths
1354",
xertioN,"Opening kill ratio
0.98",
xertioN,"Opening kill rating
1.09",
xertioN,"Team win percent after first kill
75.2%",
xertioN,"First kill in won rounds
17.7%",Career
xertioN,"First kill in won rounds
17.7%",1.02 (400)
xertioN,"First kill in won rounds
17.7%",1.03 (236)
xertioN,"First kill in won rounds
17.7%",1.01 (164)
xertioN,"First kill in won rounds
17.7%",0.96 (23)
dexter,"Total opening kills
3528",
dexter,"Total opening deaths
3096",
dexter,"Opening kill ratio
1.14",
dexter,"Opening kill rating
1.08",
dexter,"Team win percent after first kill
75.8%",
dexter,"First kill in won rounds
16.1%",Career
dexter,"First kill in won rounds
16.1%",1.05 (1168)
dexter,"First kill in won rounds
16.1%",1.11 (726)
dexter,"First kill in won rounds
16.1%",0.96 (442)
dexter,"First kill in won rounds
16.1%",0.92 (53)
JDC,"Total opening kills
1775",
JDC,"Total opening deaths
1921",
JDC,"Opening kill ratio
0.92",
JDC,"Opening kill rating
0.97",
JDC,"Team win percent after first kill
69.2%",
JDC,"First kill in won rounds
13.1%",Career
JDC,"First kill in won rounds
13.1%",1.01 (712)
JDC,"First kill in won rounds
13.1%",1.03 (518)
JDC,"First kill in won rounds
13.1%",0.97 (194)
JDC,"First kill in won rounds
13.1%",0.86 (23)
b1t,"Total opening kills
1929",
b1t,"Total opening deaths
1683",
b1t,"Opening kill ratio
1.15",
b1t,"Opening kill rating
1.08",
b1t,"Team win percent after first kill
74.5%",
b1t,"First kill in won rounds
16.3%",Career
b1t,"First kill in won rounds
16.3%",1.05 (628)
