Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
NiKo,"Rating 2.0
                          1.23","Kills per round
                          0.77","Headshots
                          55.8%","Maps played
                          52","Deaths per round
                          0.61","Rounds contributed
                          74.2%"
huNter-,"Rating 2.0
                          1.11","Kills per round
                          0.72","Headshots
                          49.2%","Maps played
                          52","Deaths per round
                          0.66","Rounds contributed
                          72.6%"
nexa,"Rating 2.0
                          0.96","Kills per round
                          0.60","Headshots
                          50.7%","Maps played
                          62","Deaths per round
                          0.65","Rounds contributed
                          71.4%"
JACKZ,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          63.1%","Maps played
                          25","Deaths per round
                          0.66","Rounds contributed
                          69.3%"
AMANEK,,,,,,
s1mple,"Rating 2.0
                          1.16","Kills per round
                          0.75","Headshots
                          40.4%","Maps played
                          40","Deaths per round
                          0.61","Rounds contributed
                          72.3%"
b1t,"Rating 2.0
                          1.09","Kills per round
                          0.68","Headshots
                          61.9%","Maps played
                          40","Deaths per round
                          0.62","Rounds contributed
                          72.1%"
Perfecto,"Rating 2.0
                          1.08","Kills per round
                          0.66","Headshots
                          42.3%","Maps played
                          41","Deaths per round
                          0.60","Rounds contributed
                          75.3%"
electroNic,"Rating 2.0
                          1.04","Kills per round
                          0.66","Headshots
                          47.1%","Maps played
                          41","Deaths per round
                          0.71","Rounds contributed
                          70.9%"
Boombl4,"Rating 2.0
                          1.07","Kills per round
                          0.67","Headshots
                          38.2%","Maps played
                          59","Deaths per round
                          0.68","Rounds contributed
                          71.2%"
rain,"Rating 2.0
                          1.00","Kills per round
                          0.62","Headshots
                          55.6%","Maps played
                          28","Deaths per round
                          0.68","Rounds contributed
                          66.3%"
broky,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          31.2%","Maps played
                          28","Deaths per round
                          0.59","Rounds contributed
                          71.0%"
Twistzz,"Rating 2.0
                          1.10","Kills per round
                          0.70","Headshots
                          58.4%","Maps played
                          28","Deaths per round
                          0.61","Rounds contributed
                          73.2%"
karrigan,"Rating 2.0
                          0.86","Kills per round
                          0.53","Headshots
                          45.0%","Maps played
                          28","Deaths per round
                          0.68","Rounds contributed
                          65.1%"
olofmeister,,,,,,
dupreeh,,,,,,
gla1ve,,,,,,
Xyp9x,,,,,,
Magisk,"Rating 2.0
                          1.14","Kills per round
                          0.70","Headshots
                          48.1%","Maps played
                          36","Deaths per round
                          0.61","Rounds contributed
                          73.9%"
Bubzkji,,,,,,
