Team 1,Team 2,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating
"G2
                    
                    0","Natus Vincere
                    
                    3",Nikola 'NiKo' Kovač,NiKo,65-61,+4,86.1,67.4%,1.15,,,,,,,
"G2
                    
                    0","Natus Vincere
                    
                    3",Nemanja 'huNter-' Kovač,huNter-,55-59,-4,69.0,62.8%,0.96,,,,,,,
"G2
                    
                    0","Natus Vincere
                    
                    3",Nemanja 'nexa' Isaković,nexa,53-57,-4,59.0,68.6%,0.91,,,,,,,
"G2
                    
                    0","Natus Vincere
                    
                    3",Audric 'JACKZ' Jug,JACKZ,49-60,-11,61.9,64.0%,0.86,,,,,,,
"G2
                    
                    0","Natus Vincere
                    
                    3",François 'AMANEK' Delaunay,AMANEK,36-60,-24,48.1,60.5%,0.66,Oleksandr 's1mple' Kostyliev,s1mple,75-49,+26,82.3,79.1%,1.37
"G2
                    
                    0","Natus Vincere
                    
                    3",François 'AMANEK' Delaunay,AMANEK,36-60,-24,48.1,60.5%,0.66,Valeriy 'b1t' Vakhovskiy,b1t,62-47,+15,76.8,76.7%,1.27
"G2
                    
                    0","Natus Vincere
                    
                    3",François 'AMANEK' Delaunay,AMANEK,36-60,-24,48.1,60.5%,0.66,Ilya 'Perfecto' Zalutskiy,Perfecto,59-47,+12,69.4,73.3%,1.12
"G2
                    
                    0","Natus Vincere
                    
                    3",François 'AMANEK' Delaunay,AMANEK,36-60,-24,48.1,60.5%,0.66,Denis 'electroNic' Sharipov,electroNic,57-58,-1,81.0,69.8%,1.05
"G2
                    
                    0","Natus Vincere
                    
                    3",François 'AMANEK' Delaunay,AMANEK,36-60,-24,48.1,60.5%,0.66,Kirill 'Boombl4' Mikhailov,Boombl4,44-57,-13,63.4,66.3%,0.88
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Oleksandr 's1mple' Kostyliev,s1mple,52-22,+30,105.7,82.6%,1.78,,,,,,,
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Denis 'electroNic' Sharipov,electroNic,42-29,+13,99.2,80.4%,1.44,,,,,,,
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Kirill 'Boombl4' Mikhailov,Boombl4,33-26,+7,79.6,87.0%,1.31,,,,,,,
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Valeriy 'b1t' Vakhovskiy,b1t,34-27,+7,88.1,80.4%,1.30,,,,,,,
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Ilya 'Perfecto' Zalutskiy,Perfecto,25-23,+2,58.7,82.6%,1.06,Håvard 'rain' Nygaard,rain,36-36,0,78.3,71.7%,1.07
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Ilya 'Perfecto' Zalutskiy,Perfecto,25-23,+2,58.7,82.6%,1.06,Helvijs 'broky' Saukants,broky,29-37,-8,76.5,54.3%,0.85
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Ilya 'Perfecto' Zalutskiy,Perfecto,25-23,+2,58.7,82.6%,1.06,Russel 'Twistzz' Van Dulken,Twistzz,26-39,-13,67.9,58.7%,0.69
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Ilya 'Perfecto' Zalutskiy,Perfecto,25-23,+2,58.7,82.6%,1.06,Finn 'karrigan' Andersen,karrigan,17-36,-19,58.2,54.3%,0.63
"Natus Vincere
                    
                    2","FaZe
                    
                    0",Ilya 'Perfecto' Zalutskiy,Perfecto,25-23,+2,58.7,82.6%,1.06,Olof 'olofmeister' Kajbjer,olofmeister,18-38,-20,49.0,50.0%,0.58
