Player,KD Diff,ADR,KAST,Rating,Team,Kills,Deaths,Rating 2.0,KPR,HS,Maps Played_x,DPR,Rounds Contributed,Rounds played,Total kills,Total deaths,Assists / round,KD ratio,Deaths / round,Damage / round,Saved by teammate / round,Grenade dmg / round,Saved teammate / round,Maps Played_y,Rating 1.0,Result
NiKo,4.0,86.1,67.4%,1.15,G2,65,61,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,0
huNter-,-4.0,69.0,62.8%,0.96,G2,55,59,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,0
nexa,-4.0,59.0,68.6%,0.91,G2,53,57,                          0.96,                          0.60,                          50.7%,                          62,                          0.65,                          71.4%,25578,37062,23568.0,0.13,1.09,0.64,75.5,0.1,4.5,0.1,1396.0,1.04,0
JACKZ,-11.0,61.9,64.0%,0.86,G2,49,60,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,0
AMANEK,-24.0,48.1,60.5%,0.66,G2,36,60,0,0,0,0,0,0,20932,30930,19682.0,0.13,1.06,0.64,75.0,0.09,4.7,0.09,1149.0,1.02,0
s1mple,26.0,82.3,79.1%,1.37,Natus Vincere,75,49,                          1.16,                          0.75,                          40.4%,                          40,                          0.61,                          72.3%,38676,45687,28996.0,0.1,1.33,0.63,85.4,0.08,2.5,0.11,1724.0,1.24,1
b1t,15.0,76.8,76.7%,1.27,Natus Vincere,62,47,                          1.09,                          0.68,                          61.9%,                          40,                          0.62,                          72.1%,11558,16631,10472.0,0.11,1.1,0.63,75.2,0.09,4.2,0.1,625.0,1.11,1
Perfecto,12.0,69.4,73.3%,1.12,Natus Vincere,59,47,                          1.08,                          0.66,                          42.3%,                          41,                          0.60,                          75.3%,14575,23258,14015.0,0.13,1.04,0.6,70.2,0.09,4.8,0.09,876.0,1.04,1
electroNic,-1.0,81.0,69.8%,1.05,Natus Vincere,57,58,                          1.04,                          0.66,                          47.1%,                          41,                          0.71,                          70.9%,28788,38959,25716.0,0.14,1.12,0.66,82.4,0.09,4.6,0.1,1472.0,1.08,1
Boombl4,-13.0,63.4,66.3%,0.88,Natus Vincere,44,57,                          1.07,                          0.67,                          38.2%,                          59,                          0.68,                          71.2%,22092,33350,22777.0,0.14,0.97,0.68,75.6,0.09,4.8,0.08,1253.0,1.04,1
s1mple,30.0,105.7,82.6%,1.78,Natus Vincere,52,22,                          1.16,                          0.75,                          40.4%,                          40,                          0.61,                          72.3%,38676,45687,28996.0,0.1,1.33,0.63,85.4,0.08,2.5,0.11,1724.0,1.24,1
electroNic,13.0,99.2,80.4%,1.44,Natus Vincere,42,29,                          1.04,                          0.66,                          47.1%,                          41,                          0.71,                          70.9%,28788,38959,25716.0,0.14,1.12,0.66,82.4,0.09,4.6,0.1,1472.0,1.08,1
Boombl4,7.0,79.6,87.0%,1.31,Natus Vincere,33,26,                          1.07,                          0.67,                          38.2%,                          59,                          0.68,                          71.2%,22092,33350,22777.0,0.14,0.97,0.68,75.6,0.09,4.8,0.08,1253.0,1.04,1
b1t,7.0,88.1,80.4%,1.3,Natus Vincere,34,27,                          1.09,                          0.68,                          61.9%,                          40,                          0.62,                          72.1%,11558,16631,10472.0,0.11,1.1,0.63,75.2,0.09,4.2,0.1,625.0,1.11,1
Perfecto,2.0,58.7,82.6%,1.06,Natus Vincere,25,23,                          1.08,                          0.66,                          42.3%,                          41,                          0.60,                          75.3%,14575,23258,14015.0,0.13,1.04,0.6,70.2,0.09,4.8,0.09,876.0,1.04,1
rain,0.0,78.3,71.7%,1.07,FaZe,36,36,                          1.00,                          0.62,                          55.6%,                          28,                          0.68,                          66.3%,33602,47577,32796.0,0.15,1.02,0.69,79.7,0.1,3.9,0.09,1792.0,1.02,0
broky,-8.0,76.5,54.3%,0.85,FaZe,29,37,                          1.06,                          0.65,                          31.2%,                          28,                          0.59,                          71.0%,16746,23792,14486.0,0.1,1.16,0.61,73.0,0.1,3.5,0.11,889.0,1.1,0
Twistzz,-13.0,67.9,58.7%,0.69,FaZe,26,39,                          1.10,                          0.70,                          58.4%,                          28,                          0.61,                          73.2%,30120,41428,25749.0,0.12,1.17,0.62,76.6,0.1,3.6,0.12,1572.0,1.11,0
karrigan,-19.0,58.2,54.3%,0.63,FaZe,17,36,                          0.86,                          0.53,                          45.0%,                          28,                          0.68,                          65.1%,35661,57886,40036.0,0.13,0.89,0.69,68.2,0.09,5.1,0.07,2201.0,0.9,0
olofmeister,-20.0,49.0,50.0%,0.58,FaZe,18,38,0,0,0,0,0,0,29431,41310,26700.0,0.13,1.1,0.65,72.9,0.09,4.4,0.08,1578.0,1.06,0
AMANEK,12.0,75.4,66.2%,1.17,G2,61,49,0,0,0,0,0,0,20932,30930,19682.0,0.13,1.06,0.64,75.0,0.09,4.7,0.09,1149.0,1.02,1
huNter-,6.0,70.6,62.5%,1.03,G2,57,51,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,1
NiKo,-3.0,82.2,63.7%,1.02,G2,51,54,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,1
