Text,Field1,Field2
NiKo,"Total opening kills
6796",
NiKo,"Total opening deaths
5541",
NiKo,"Opening kill ratio
1.23",
NiKo,"Opening kill rating
1.18",
NiKo,"Team win percent after first kill
73.4%",
NiKo,"First kill in won rounds
19.9%",Career
NiKo,"First kill in won rounds
19.9%",1.15 (1803)
NiKo,"First kill in won rounds
19.9%",1.14 (886)
NiKo,"First kill in won rounds
19.9%",1.17 (917)
NiKo,"First kill in won rounds
19.9%",1.13 (95)
huNter-,"Total opening kills
4948",
huNter-,"Total opening deaths
4205",
huNter-,"Opening kill ratio
1.18",
huNter-,"Opening kill rating
1.08",
huNter-,"Team win percent after first kill
75.9%",
huNter-,"First kill in won rounds
16.1%",Career
huNter-,"First kill in won rounds
16.1%",1.12 (1645)
huNter-,"First kill in won rounds
16.1%",1.12 (1075)
huNter-,"First kill in won rounds
16.1%",1.11 (570)
huNter-,"First kill in won rounds
16.1%",1.08 (53)
nexa,"Total opening kills
2819",
nexa,"Total opening deaths
2850",
nexa,"Opening kill ratio
0.99",
nexa,"Opening kill rating
0.92",
nexa,"Team win percent after first kill
72.8%",
nexa,"First kill in won rounds
10.4%",Career
nexa,"First kill in won rounds
10.4%",1.04 (1410)
nexa,"First kill in won rounds
10.4%",1.04 (938)
nexa,"First kill in won rounds
10.4%",1.03 (472)
nexa,"First kill in won rounds
10.4%",1.05 (36)
JACKZ,"Total opening kills
3451",
JACKZ,"Total opening deaths
3719",
JACKZ,"Opening kill ratio
0.93",
JACKZ,"Opening kill rating
1.00",
JACKZ,"Team win percent after first kill
73.1%",
JACKZ,"First kill in won rounds
14.9%",Career
JACKZ,"First kill in won rounds
14.9%",0.98 (1231)
JACKZ,"First kill in won rounds
14.9%",0.98 (760)
JACKZ,"First kill in won rounds
14.9%",0.98 (471)
JACKZ,"First kill in won rounds
14.9%",0.92 (55)
AMANEK,"Total opening kills
2838",
AMANEK,"Total opening deaths
2745",
AMANEK,"Opening kill ratio
1.03",
AMANEK,"Opening kill rating
0.98",
AMANEK,"Team win percent after first kill
71.7%",
AMANEK,"First kill in won rounds
12.8%",Career
AMANEK,"First kill in won rounds
12.8%",1.02 (1149)
AMANEK,"First kill in won rounds
12.8%",1.02 (800)
AMANEK,"First kill in won rounds
12.8%",1.02 (349)
AMANEK,"First kill in won rounds
12.8%",0.99 (31)
s1mple,"Total opening kills
6573",
s1mple,"Total opening deaths
4099",
s1mple,"Opening kill ratio
1.60",
s1mple,"Opening kill rating
1.24",
s1mple,"Team win percent after first kill
75.0%",
s1mple,"First kill in won rounds
20.6%",Career
s1mple,"First kill in won rounds
20.6%",1.24 (1724)
s1mple,"First kill in won rounds
20.6%",1.24 (843)
s1mple,"First kill in won rounds
20.6%",1.24 (881)
s1mple,"First kill in won rounds
20.6%",1.20 (115)
b1t,"Total opening kills
1929",
b1t,"Opening kill ratio
1.15",
b1t,"Total opening deaths
1683",
b1t,"Opening kill rating
1.08",
b1t,"Team win percent after first kill
74.5%",
b1t,"First kill in won rounds
16.3%",Career
b1t,"First kill in won rounds
16.3%",1.05 (628)
b1t,"First kill in won rounds
16.3%",1.05 (339)
b1t,"First kill in won rounds
16.3%",1.05 (289)
b1t,"First kill in won rounds
16.3%",1.09 (40)
Perfecto,"Total opening kills
1509",
Perfecto,"Total opening deaths
1431",
Perfecto,"Opening kill ratio
1.05",
Perfecto,"Opening kill rating
0.89",
Perfecto,"Team win percent after first kill
74.2%",
Perfecto,"First kill in won rounds
9.0%",Career
Perfecto,"First kill in won rounds
9.0%",0.98 (890)
Perfecto,"First kill in won rounds
9.0%",0.98 (533)
Perfecto,"First kill in won rounds
9.0%",0.99 (357)
Perfecto,"First kill in won rounds
9.0%",1.05 (48)
electroNic,"Total opening kills
4622",
electroNic,"Total opening deaths
4257",
electroNic,"Opening kill ratio
1.09",
electroNic,"Opening kill rating
1.07",
electroNic,"Team win percent after first kill
73.1%",
electroNic,"First kill in won rounds
16.5%",Career
electroNic,"First kill in won rounds
16.5%",1.08 (1486)
electroNic,"First kill in won rounds
16.5%",1.08 (742)
electroNic,"First kill in won rounds
16.5%",1.09 (744)
electroNic,"First kill in won rounds
16.5%",1.10 (92)
Boombl4,"Total opening kills
3930",
Boombl4,"Total opening deaths
4471",
Boombl4,"Opening kill ratio
0.88",
Boombl4,"Opening kill rating
1.03",
Boombl4,"Team win percent after first kill
72.3%",
Boombl4,"First kill in won rounds
16.1%",Career
Boombl4,"First kill in won rounds
16.1%",0.97 (1279)
Boombl4,"First kill in won rounds
16.1%",0.97 (920)
Boombl4,"First kill in won rounds
16.1%",0.98 (359)
Boombl4,"First kill in won rounds
16.1%",0.96 (54)
rain,"Total opening kills
6032",
rain,"Total opening deaths
6206",
rain,"Opening kill ratio
0.97",
rain,"Opening kill rating
1.08",
rain,"Team win percent after first kill
74.6%",
rain,"First kill in won rounds
17.8%",Career
rain,"First kill in won rounds
17.8%",1.02 (1826)
rain,"First kill in won rounds
17.8%",1.02 (817)
rain,"First kill in won rounds
17.8%",1.02 (1009)
rain,"First kill in won rounds
17.8%",0.98 (127)
broky,"Total opening kills
2123",
broky,"Total opening deaths
1403",
broky,"Opening kill ratio
1.51",
broky,"Opening kill rating
1.00",
broky,"Team win percent after first kill
74.9%",
broky,"First kill in won rounds
12.4%",Career
broky,"First kill in won rounds
12.4%",1.07 (923)
broky,"First kill in won rounds
12.4%",1.05 (484)
broky,"First kill in won rounds
12.4%",1.10 (439)
broky,"First kill in won rounds
12.4%",1.10 (50)
Twistzz,"Total opening kills
3698",
Twistzz,"Total opening deaths
3433",
Twistzz,"Opening kill ratio
1.08",
Twistzz,"Opening kill rating
0.97",
Twistzz,"Team win percent after first kill
74.1%",
Twistzz,"First kill in won rounds
12.2%",Career
Twistzz,"First kill in won rounds
12.2%",1.10 (1606)
Twistzz,"First kill in won rounds
12.2%",1.12 (719)
Twistzz,"First kill in won rounds
12.2%",1.09 (887)
Twistzz,"First kill in won rounds
12.2%",1.07 (86)
karrigan,"Total opening kills
5798",
karrigan,"Total opening deaths
7211",
karrigan,"Opening kill ratio
0.80",
karrigan,"Opening kill rating
0.96",
karrigan,"Team win percent after first kill
74.3%",
karrigan,"First kill in won rounds
13.7%",Career
karrigan,"First kill in won rounds
13.7%",0.90 (2235)
karrigan,"First kill in won rounds
13.7%",0.91 (1013)
karrigan,"First kill in won rounds
13.7%",0.89 (1222)
karrigan,"First kill in won rounds
13.7%",0.89 (134)
olofmeister,"Total opening kills
4405",
olofmeister,"Total opening deaths
4166",
olofmeister,"Opening kill ratio
1.06",
olofmeister,"Opening kill rating
1.03",
olofmeister,"Team win percent after first kill
76.6%",
olofmeister,"First kill in won rounds
15.1%",Career
olofmeister,"First kill in won rounds
15.1%",1.06 (1579)
olofmeister,"First kill in won rounds
15.1%",1.06 (744)
olofmeister,"First kill in won rounds
15.1%",1.05 (835)
olofmeister,"First kill in won rounds
15.1%",1.07 (134)
dupreeh,"Total opening kills
6389",
dupreeh,"Total opening deaths
5626",
dupreeh,"Opening kill ratio
1.14",
dupreeh,"Opening kill rating
1.08",
dupreeh,"Team win percent after first kill
75.1%",
dupreeh,"First kill in won rounds
15.9%",Career
dupreeh,"First kill in won rounds
15.9%",1.07 (2102)
dupreeh,"First kill in won rounds
15.9%",1.10 (1002)
dupreeh,"First kill in won rounds
15.9%",1.05 (1099)
dupreeh,"First kill in won rounds
15.9%",1.05 (163)
gla1ve,"Total opening kills
5045",
gla1ve,"Total opening deaths
5260",
gla1ve,"Opening kill ratio
0.96",
gla1ve,"Opening kill rating
1.00",
gla1ve,"Team win percent after first kill
75.2%",
gla1ve,"First kill in won rounds
14.3%",Career
gla1ve,"First kill in won rounds
14.3%",0.98 (1860)
gla1ve,"First kill in won rounds
14.3%",0.98 (995)
gla1ve,"First kill in won rounds
14.3%",0.97 (865)
gla1ve,"First kill in won rounds
14.3%",0.96 (103)
Xyp9x,"Total opening kills
4232",
Xyp9x,"Total opening deaths
3936",
Xyp9x,"Opening kill ratio
1.08",
Xyp9x,"Opening kill rating
0.92",
Xyp9x,"Team win percent after first kill
76.3%",
Xyp9x,"First kill in won rounds
10.3%",Career
Xyp9x,"First kill in won rounds
10.3%",1.01 (2188)
Xyp9x,"First kill in won rounds
10.3%",1.02 (1075)
